,xf,vf,xb,vb
0.0,-2.80001093,0.0,-1.79805351,0.0
0.20002500312539068,-2.7816962694545575,0.16882483199992018,-1.7948569230740243,0.055487930094277556
0.40005000625078135,-2.7393261621788607,0.2392559912307864,-1.7671201558955065,0.23267401525461928
0.600075009376172,-2.6904757375490354,0.24422638931231455,-1.7036675935043957,0.37778735702586697
0.8001000125015627,-2.642760664871643,0.22837196110961905,-1.6286144669445293,0.34367599686588707
1.0001250156269534,-2.602400773965186,0.16372882217491566,-1.5741019999777988,0.19078476734864636
1.200150018752344,-2.582368274799941,0.02394931188774862,-1.553860427796613,0.012332550551973775
1.4001750218777347,-2.5968570229396497,-0.1747178281906721,-1.5684756316291888,-0.15861890632647965
1.6002000250031254,-2.6524445433759043,-0.3765991845811506,-1.618901257767205,-0.35177303346120964
1.8002250281285161,-2.7444857951394805,-0.5342922784920184,-1.7108066738849377,-0.5663438264300021
2.000250031253907,-2.862452143327433,-0.6359563806085913,-1.8416911806243939,-0.7250182641360344
2.2002750343792976,-2.9946798485898594,-0.6735416229973772,-1.9926423683209513,-0.7635899954978035
2.400300037504688,-3.1259579975811462,-0.6224852954673896,-2.139755523079519,-0.6912810222066956
2.6003250406300786,-3.2369087873381943,-0.47053149040600123,-2.2634311427996687,-0.5318158699854758
2.8003500437554694,-3.308450995440664,-0.23306272863701838,-2.3471439732920505,-0.29192909001054157
3.00037504688086,-3.3266668704805467,0.056550289757093045,-2.3753486824518837,0.01995304059313977
3.200400050006251,-3.284777989404591,0.3619206668615244,-2.3365660669815895,0.37020883807347643
3.4004250531316416,-3.183092599007925,0.6493242444482706,-2.2284196820145206,0.7023328382534001
3.6004500562570323,-3.028415582894885,0.885406780445896,-2.060721523471971,0.959030639772434
3.800475059382423,-2.8349403038383767,1.0311023719320818,-1.8514633282188573,1.1153906368683564
4.000500062507814,-2.6238691074528817,1.0583918392755147,-1.6222095570933701,1.1560895584173598
4.2005250656332045,-2.4199318305775472,0.960237388823982,-1.3978150087287409,1.0646416295455061
4.400550068758595,-2.247459074182022,0.7464621303441992,-1.2053193462988663,0.8388324769508466
4.600575071883986,-2.127616818466616,0.4384582970978489,-1.0697314439765881,0.5012747277868044
4.800600075009376,-2.0762090112832685,0.0684751804372945,-1.0095428155463348,0.09255173624599645
5.0006250781347665,-2.101566262336104,-0.32151432087981363,-1.034303373563723,-0.34004567926324913
5.200650081260157,-2.2032152378637506,-0.6872578993736667,-1.1435407879067232,-0.7423737054428687
5.400675084385548,-2.3719977111570203,-0.9855371199882639,-1.3259460571398602,-1.065183175395455
5.600700087510939,-2.5903419758113535,-1.1773104278378321,-1.5622095646252738,-1.2763123003477217
5.8007250906363295,-2.834230484018773,-1.238468291209203,-1.827428384939758,-1.3511982822718984
6.00075009376172,-3.0766394199932665,-1.1628769081723802,-2.0927101024666603,-1.276115139593652
6.200775096887111,-3.2909202829157347,-0.9599675569219009,-2.328295375615767,-1.057112563856121
6.400800100012502,-3.4536974236363247,-0.6528272983831488,-2.5077378652126803,-0.7205277803995611
6.600825103137892,-3.547457169652995,-0.2765853052178558,-2.6113617042944637,-0.3064639497905559
6.800850106263283,-3.5626400132247094,0.12512661212108356,-2.6282933715965435,0.13825890187045678
7.000875109388674,-3.498667696351523,0.5079998448603816,-2.557593116404253,0.5597867383052306
7.200900112514065,-3.3634086137336405,0.8310255174489185,-2.409385805371765,0.906630907024309
7.400925115639455,-3.1727652763215946,1.056326555475347,-2.201923598839207,1.1483114043695613
7.600950118764846,-2.9489843902612196,1.159888732733684,-1.9584205145291393,1.263982020809928
7.800975121890237,-2.7173012298727914,1.1357186259369465,-1.7055496356365218,1.2410435366826018
8.001000125015628,-2.5025842966486564,0.992784550186902,-1.4709391822964133,1.083831731501326
8.201025128141017,-2.3266974713062956,0.7518038191514941,-1.2793715560738106,0.8159317946367862
8.401050131266409,-2.206336632364301,0.4433998239052417,-1.149484123383365,0.4738298487577056
8.601075134391799,-2.151309389811032,0.10518123224773472,-1.0919812029133888,0.09919537896454933
8.80110013751719,-2.16366128042587,-0.22434767778474848,-1.1090086364668943,-0.26326372521938785
9.00112514064258,-2.2381886773629778,-0.5108765038803152,-1.193530930492578,-0.5699393000339267
9.201150143767972,-2.3630845926891983,-0.7235283683704812,-1.3315597501379366,-0.7951114995552541
9.401175146893362,-2.521371555305791,-0.8427524462648932,-1.505115558780771,-0.9229777385416619
9.601200150018752,-2.693666858656416,-0.8639823964193517,-1.6936767713971763,-0.9445047216393142
9.801225153144143,-2.8609651121246507,-0.7948655126188936,-1.876089426338584,-0.8634566476114708
10.001250156269533,-3.0067033466932265,-0.6517410958147103,-2.0334994634102896,-0.6987038387449896
10.201275159394925,-3.1182839412429115,-0.45762147665984154,-2.1519319921733806,-0.4789318560315199
10.401300162520315,-3.188197109168696,-0.2398722044550464,-2.223530113413223,-0.23557592412021144
10.601325165645706,-3.214501886570527,-0.02577675406518203,-2.2466895459520444,-1.1936735071556293e-05
10.801350168771096,-3.2003170899803814,0.16132116503410618,-2.2259682326212653,0.19954612108316455
11.001375171896488,-3.153053413412735,0.30241827835650215,-2.1703324025623676,0.34727498473182317
11.201400175021877,-3.0831012557655466,0.38738785921262814,-2.091044489248999,0.43512475310375603
